1001,37,84,molestie
1002,43,40,"nec, leo. Morbi"
1003,33,49,Etiam bibendum fermentum
1004,45,23,sapien
1005,33,95,"tempor, est ac"
1006,43,23,"et,"
1007,33,59,cubilia Curae;
1007,32,100,""
1007,38,100,""
1007,37,100,""
1007,36,100,""
1007,35,100,""
1007,34,50,""
1007,43,100,""
1007,31,40,""
1000,32,20,""
1000,38,100,""
1000,37,20,""
1000,36,100,""
1000,35,10,""
1000,34,100,""
1000,43,100,""
1000,31,100,""
1003,32,100,""
1003,38,100,""
1003,37,17,""
1003,36,100,""
1003,35,70,""
1003,34,90,""
1003,43,100,""
1003,31,10,""
1005,32,100,""
1005,38,100,""
1005,37,100,""
1005,36,90,""
1005,35,80,""
1005,34,60,""
1005,43,80,""
1005,31,100,""
1006,32,100,""
1006,38,70,""
1006,37,60,""
1006,36,10,""
1006,35,80,""
1006,34,100,""
1006,43,100,""
1006,31,90,""
